,,,,,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
CHLMOR[4],SSP2,Afghanistan,,,Per Thous,          9.497,          9.865,          9.861,          9.787,          9.486,          9.137,          8.774,          8.490,          8.226,          7.996,          7.776,          7.586,          7.419,          7.278,          7.170,          7.085,          7.015,          6.961,          6.921,          6.885,          6.849,          6.810,          6.769,          6.730,          6.692,          6.654,          6.609,          6.556,          6.492,          6.416,          6.331,          6.241,          6.148,          6.051,          5.952,          5.851,          5.752,          5.652,          5.552,          5.454,          5.358,          5.264,          5.173,          5.087,          5.001,          4.915,          4.831,          4.749,          4.669,          4.590,          4.511
CHLMOR[4],SSP2,Albania,,,Per Thous,          2.162,          2.084,          2.067,          2.050,          2.013,          1.960,          1.925,          1.894,          1.857,          1.822,          1.789,          1.758,          1.731,          1.706,          1.683,          1.662,          1.644,          1.626,          1.608,          1.589,          1.569,          1.553,          1.536,          1.519,          1.501,          1.481,          1.463,          1.446,          1.429,          1.412,          1.396,          1.378,          1.361,          1.344,          1.328,          1.314,          1.296,          1.279,          1.263,          1.247,          1.232,          1.216,          1.200,          1.185,          1.170,          1.156,          1.142,          1.128,          1.114,          1.101,          1.088
CHLMOR[4],SSP2,Algeria,,,Per Thous,          3.381,          3.340,          3.304,          3.255,          3.213,          3.183,          3.163,          3.142,          3.131,          3.124,          3.117,          3.111,          3.104,          3.097,          3.089,          3.081,          3.077,          3.071,          3.061,          3.047,          3.030,          3.000,          2.972,          2.937,          2.906,          2.868,          2.834,          2.794,          2.760,          2.718,          2.688,          2.649,          2.617,          2.578,          2.547,          2.511,          2.483,          2.451,          2.427,          2.399,          2.377,          2.352,          2.351,          2.345,          2.339,          2.323,          2.306,          2.279,          2.252,          2.222,          2.193
CHLMOR[4],SSP2,Angola,,,Per Thous,          10.72,          10.40,          10.04,          9.886,          9.520,          9.199,          8.885,          8.550,          8.243,          7.960,          7.705,          7.440,          7.188,          6.953,          6.745,          6.547,          6.379,          6.244,          6.132,          6.026,          5.926,          5.830,          5.737,          5.656,          5.586,          5.520,          5.455,          5.391,          5.328,          5.263,          5.197,          5.128,          5.053,          4.971,          4.883,          4.786,          4.686,          4.575,          4.461,          4.344,          4.226,          4.110,          3.995,          3.884,          3.776,          3.672,          3.573,          3.476,          3.384,          3.298,          3.216
CHLMOR[4],SSP2,Argentina,,,Per Thous,          1.755,          1.626,          1.578,          1.602,          1.634,          1.566,          1.521,          1.501,          1.462,          1.429,          1.400,          1.371,          1.342,          1.312,          1.282,          1.251,          1.222,          1.194,          1.166,          1.140,          1.114,          1.089,          1.065,          1.041,          1.018,          0.995,          0.972,          0.950,          0.929,          0.908,          0.888,          0.869,          0.850,          0.832,          0.815,          0.798,          0.782,          0.766,          0.751,          0.736,          0.721,          0.707,          0.693,          0.678,          0.664,          0.650,          0.636,          0.621,          0.607,          0.594,          0.582
CHLMOR[4],SSP2,Armenia,,,Per Thous,          1.913,          1.899,          1.820,          1.776,          1.744,          1.707,          1.685,          1.650,          1.618,          1.587,          1.559,          1.533,          1.508,          1.483,          1.459,          1.435,          1.411,          1.386,          1.359,          1.331,          1.300,          1.273,          1.247,          1.221,          1.196,          1.170,          1.146,          1.123,          1.102,          1.083,          1.066,          1.048,          1.032,          1.018,          1.005,          0.995,          0.984,          0.973,          0.962,          0.953,          0.943,          0.933,          0.922,          0.910,          0.898,          0.883,          0.867,          0.851,          0.836,          0.821,          0.806
CHLMOR[4],SSP2,Australia,,,Per Thous,          0.600,          0.583,          0.562,          0.553,          0.546,          0.537,          0.526,          0.512,          0.497,          0.482,          0.468,          0.455,          0.443,          0.432,          0.421,          0.412,          0.402,          0.394,          0.385,          0.376,          0.368,          0.359,          0.350,          0.342,          0.334,          0.325,          0.318,          0.310,          0.303,          0.296,          0.290,          0.284,          0.278,          0.272,          0.267,          0.262,          0.256,          0.251,          0.247,          0.242,          0.237,          0.233,          0.228,          0.224,          0.220,          0.216,          0.212,          0.208,          0.204,          0.200,          0.197
CHLMOR[4],SSP2,Austria,,,Per Thous,          0.545,          0.521,          0.498,          0.495,          0.489,          0.481,          0.470,          0.460,          0.449,          0.439,          0.429,          0.420,          0.412,          0.404,          0.397,          0.390,          0.384,          0.378,          0.372,          0.366,          0.360,          0.354,          0.348,          0.342,          0.335,          0.329,          0.323,          0.316,          0.309,          0.303,          0.296,          0.291,          0.285,          0.279,          0.274,          0.268,          0.263,          0.258,          0.253,          0.248,          0.244,          0.239,          0.235,          0.230,          0.226,          0.222,          0.218,          0.214,          0.210,          0.207,          0.203
CHLMOR[4],SSP2,Azerbaijan,,,Per Thous,          4.477,          4.455,          4.469,          4.598,          4.568,          4.552,          4.587,          4.555,          4.504,          4.450,          4.384,          4.306,          4.232,          4.151,          4.070,          3.985,          3.906,          3.818,          3.730,          3.649,          3.569,          3.504,          3.450,          3.400,          3.355,          3.313,          3.268,          3.227,          3.188,          3.155,          3.134,          3.102,          3.075,          3.052,          3.034,          3.021,          2.999,          2.976,          2.949,          2.920,          2.888,          2.848,          2.805,          2.760,          2.715,          2.670,          2.625,          2.579,          2.533,          2.489,          2.445
CHLMOR[4],SSP2,Bahamas,,,Per Thous,          1.937,          1.709,          1.540,          1.485,          1.459,          1.450,          1.423,          1.390,          1.358,          1.326,          1.293,          1.262,          1.233,          1.206,          1.179,          1.153,          1.127,          1.101,          1.077,          1.054,          1.033,          1.010,          0.989,          0.968,          0.950,          0.933,          0.916,          0.900,          0.883,          0.867,          0.850,          0.835,          0.820,          0.805,          0.789,          0.772,          0.757,          0.743,          0.728,          0.713,          0.698,          0.683,          0.667,          0.652,          0.637,          0.622,          0.608,          0.594,          0.581,          0.568,          0.556
